timestamp,user,role,ip,status,reason,hour,weekday,risk_score,risk_level,ml_anomaly_score,ml_is_anomaly
2025-11-22 23:06:11,alice,user,192.168.1.12,SUCCESS,ok,23,5,25,low,-0.210737719048044,0
2025-11-20 09:00:11,admin,admin,10.0.0.6,FAIL,unknown_user,9,3,20,low,-0.054061580691479705,0
2025-11-18 00:52:11,admin,admin,192.168.1.11,FAIL,unknown_user,0,1,45,medium,-0.024800826631158568,0
2025-11-24 21:24:11,bob,user,192.168.1.10,SUCCESS,ok,21,0,25,low,-0.15594001907044708,0
2025-11-17 15:35:11,charlie,user,192.168.1.10,SUCCESS,ok,15,0,0,low,-0.18470423452041673,0
2025-11-21 03:33:11,bob,user,10.0.0.6,SUCCESS,ok,3,4,0,low,-0.17726528538563163,0
2025-11-23 02:02:11,admin,admin,10.0.0.6,SUCCESS,ok,2,6,20,low,-0.16465188214662851,0
2025-11-20 16:03:11,admin,admin,8.8.8.8,SUCCESS,ok,16,3,20,low,-0.049241542039513475,0
2025-11-20 00:53:11,bob,user,192.168.1.12,SUCCESS,ok,0,3,25,low,-0.20857248445186816,0
2025-11-21 23:29:11,admin,admin,203.0.113.10,SUCCESS,ok,23,4,45,medium,-0.050852618407035255,0
2025-11-24 21:35:11,alice,user,192.168.1.10,SUCCESS,ok,21,0,0,low,-0.15990570750197874,0
2025-11-18 20:24:11,alice,user,192.168.1.11,SUCCESS,ok,20,1,0,low,-0.1903998336914906,0
2025-11-21 12:39:11,admin,admin,192.168.1.10,SUCCESS,ok,12,4,20,low,-0.1409960276123522,0
2025-11-23 11:34:11,alice,user,192.168.1.10,SUCCESS,ok,11,6,0,low,-0.19407593469510948,0
2025-11-17 14:35:11,bob,user,192.168.1.11,SUCCESS,ok,14,0,0,low,-0.20174898740751157,0
2025-11-20 14:12:11,charlie,user,192.168.1.12,SUCCESS,ok,14,3,0,low,-0.20174898740751157,0
2025-11-18 00:21:11,admin,admin,10.0.0.5,SUCCESS,ok,0,1,45,medium,-0.10184810617941686,0
2025-11-21 00:01:11,alice,user,8.8.8.8,SUCCESS,ok,0,4,25,low,-0.11974452488864396,0
2025-11-24 14:20:11,alice,user,198.51.100.3,SUCCESS,ok,14,0,0,low,-0.09463276070233784,0
2025-11-23 13:41:11,alice,user,51.89.23.14,SUCCESS,ok,13,6,0,low,-0.10247668451811143,0
2025-11-19 14:04:11,alice,user,192.168.1.11,SUCCESS,ok,14,2,0,low,-0.20174898740751157,0
2025-11-19 01:43:11,admin,admin,10.0.0.5,SUCCESS,ok,1,2,45,medium,-0.10166881446659493,0
2025-11-21 14:29:11,admin,admin,10.0.0.6,SUCCESS,ok,14,4,20,low,-0.14121980788034416,0
2025-11-16 22:00:11,admin,admin,192.168.1.11,FAIL,bad_password,22,6,45,medium,-0.030596375732419356,0
2025-11-17 07:23:11,alice,user,8.8.8.8,SUCCESS,ok,7,0,0,low,-0.10654305800138675,0
2025-11-24 01:52:11,alice,user,10.0.0.5,FAIL,bad_password,1,0,25,low,-0.0644698246799561,0
2025-11-20 07:20:11,alice,user,10.0.0.5,SUCCESS,ok,7,3,0,low,-0.1968515695316872,0
2025-11-18 00:34:11,admin,admin,192.168.1.11,SUCCESS,ok,0,1,45,medium,-0.10184810617941686,0
2025-11-18 15:33:11,alice,user,192.168.1.10,FAIL,bad_password,15,1,0,low,-0.06459892114324539,0
2025-11-22 13:49:11,admin,admin,8.8.8.8,SUCCESS,ok,13,5,20,low,-0.0681763832264003,0
2025-11-23 23:36:11,charlie,user,10.0.0.6,FAIL,bad_password,23,6,25,low,-0.07536283898764218,0
2025-11-17 16:19:11,charlie,user,10.0.0.5,SUCCESS,ok,16,0,0,low,-0.18145127272917383,0
2025-11-21 05:12:11,alice,user,10.0.0.5,SUCCESS,ok,5,4,0,low,-0.19728484892242687,0
2025-11-18 12:15:11,bob,user,192.168.1.10,SUCCESS,ok,12,1,0,low,-0.19656099588041198,0
2025-11-18 10:28:11,admin,admin,192.168.1.11,SUCCESS,ok,10,1,20,low,-0.13877852532491242,0
2025-11-24 10:11:11,bob,user,192.168.1.10,SUCCESS,ok,10,0,0,low,-0.1699839366717691,0
2025-11-24 14:56:11,charlie,user,10.0.0.6,SUCCESS,ok,14,0,0,low,-0.20174898740751157,0
2025-11-21 18:36:11,bob,user,10.0.0.6,SUCCESS,ok,18,4,0,low,-0.16033407215443196,0
2025-11-20 13:43:11,alice,user,10.0.0.6,SUCCESS,ok,13,3,0,low,-0.19419957982571562,0
2025-11-22 03:44:11,admin,admin,192.168.1.12,SUCCESS,ok,3,5,20,low,-0.14449165139524578,0
2025-11-20 18:46:11,alice,user,10.0.0.5,SUCCESS,ok,18,3,0,low,-0.16033407215443196,0
2025-11-18 20:06:11,charlie,user,192.168.1.11,FAIL,bad_password,20,1,0,low,-0.05507995978204949,0
2025-11-23 04:52:11,alice,user,10.0.0.5,SUCCESS,ok,4,6,0,low,-0.19062178946263747,0
2025-11-21 01:15:11,charlie,user,8.8.8.8,SUCCESS,ok,1,4,0,low,-0.06937348210764127,0
2025-11-23 13:56:11,charlie,user,192.168.1.10,SUCCESS,ok,13,6,0,low,-0.19419957982571562,0
2025-11-22 14:09:11,admin,admin,192.168.1.12,SUCCESS,ok,14,5,20,low,-0.14121980788034416,0
2025-11-20 22:42:11,charlie,user,192.168.1.12,SUCCESS,ok,22,3,25,low,-0.19244854323655258,0
2025-11-17 00:11:11,bob,user,51.89.23.14,FAIL,bad_password,0,0,55,medium,0.027048199413369334,1
2025-11-19 14:59:11,bob,user,10.0.0.6,SUCCESS,ok,14,2,0,low,-0.20174898740751157,0
2025-11-23 21:28:11,admin,admin,192.168.1.10,SUCCESS,ok,21,6,20,low,-0.1778049106009621,0
2025-11-19 00:02:11,bob,user,10.0.0.5,SUCCESS,ok,0,2,25,low,-0.20857248445186816,0
2025-11-17 22:01:11,admin,admin,10.0.0.5,SUCCESS,ok,22,0,45,medium,-0.10452001337216565,0
2025-11-21 22:47:11,alice,user,192.168.1.10,SUCCESS,ok,22,4,25,low,-0.19244854323655258,0
2025-11-17 07:10:11,bob,user,10.0.0.6,SUCCESS,ok,7,0,0,low,-0.1968515695316872,0
2025-11-17 17:29:11,bob,user,10.0.0.6,FAIL,bad_password,17,0,20,low,-0.06296997175283325,0
2025-11-21 11:28:11,bob,user,10.0.0.6,SUCCESS,ok,11,4,0,low,-0.19407593469510948,0
2025-11-19 07:13:11,bob,user,198.51.100.3,SUCCESS,ok,7,2,0,low,-0.10654305800138675,0
2025-11-23 07:31:11,alice,user,192.168.1.10,SUCCESS,ok,7,6,0,low,-0.1968515695316872,0
2025-11-24 08:36:11,alice,user,192.168.1.10,SUCCESS,ok,8,0,0,low,-0.190829194159085,0
2025-11-17 11:11:11,alice,user,192.168.1.10,SUCCESS,ok,11,0,0,low,-0.19407593469510948,0
2025-11-21 23:08:11,charlie,user,198.51.100.3,SUCCESS,ok,23,4,25,low,-0.11177132980792537,0
2025-11-20 01:28:11,admin,admin,192.168.1.11,SUCCESS,ok,1,3,45,medium,-0.10166881446659493,0
2025-11-18 10:31:11,bob,user,192.168.1.12,SUCCESS,ok,10,1,0,low,-0.1699839366717691,0
2025-11-21 10:11:11,charlie,user,10.0.0.5,SUCCESS,ok,10,4,0,low,-0.1699839366717691,0
2025-11-17 07:16:11,alice,user,10.0.0.6,SUCCESS,ok,7,0,0,low,-0.1968515695316872,0
2025-11-19 06:16:11,admin,admin,192.168.1.10,SUCCESS,ok,6,2,20,low,-0.1250102776033043,0
2025-11-19 11:15:11,bob,user,192.168.1.12,SUCCESS,ok,11,2,0,low,-0.19407593469510948,0
2025-11-24 09:45:11,charlie,user,192.168.1.12,SUCCESS,ok,9,0,0,low,-0.18227415590770224,0
2025-11-18 04:28:11,alice,user,10.0.0.5,FAIL,unknown_user,4,1,0,low,-0.05859225901520693,0
2025-11-22 23:12:11,admin,admin,192.168.1.11,SUCCESS,ok,23,5,45,medium,-0.13368125327708047,0
2025-11-19 19:20:11,alice,user,10.0.0.6,FAIL,unknown_user,19,2,0,low,-0.051910266335193245,0
2025-11-23 05:11:11,alice,user,10.0.0.5,SUCCESS,ok,5,6,0,low,-0.19728484892242687,0
2025-11-20 18:27:11,admin,admin,10.0.0.6,FAIL,bad_password,18,3,20,low,-0.0540047161551831,0
2025-11-21 22:08:11,bob,user,192.168.1.11,SUCCESS,ok,22,4,25,low,-0.19244854323655258,0
2025-11-22 06:57:11,alice,user,192.168.1.12,SUCCESS,ok,6,5,0,low,-0.19886593041608974,0
2025-11-18 21:11:11,bob,user,10.0.0.6,SUCCESS,ok,21,1,25,low,-0.15594001907044708,0
2025-11-19 06:17:11,bob,user,10.0.0.5,SUCCESS,ok,6,2,0,low,-0.19886593041608974,0
2025-11-22 18:06:11,alice,user,198.51.100.3,SUCCESS,ok,18,5,0,low,-0.08048990874549322,0
2025-11-17 05:24:11,alice,user,192.168.1.11,FAIL,bad_password,5,0,0,low,-0.053581510130210064,0
2025-11-22 01:03:11,alice,user,10.0.0.6,SUCCESS,ok,1,5,25,low,-0.18110962984545836,0
2025-11-24 00:40:11,charlie,user,10.0.0.5,SUCCESS,ok,0,0,25,low,-0.20857248445186816,0
2025-11-21 06:05:11,admin,admin,10.0.0.6,SUCCESS,ok,6,4,20,low,-0.1250102776033043,0
2025-11-18 00:54:11,charlie,user,203.0.113.10,SUCCESS,ok,0,1,25,low,-0.11974452488864396,0
2025-11-18 18:03:11,bob,user,192.168.1.10,SUCCESS,ok,18,1,0,low,-0.16033407215443196,0
2025-11-19 07:31:11,alice,user,192.168.1.10,SUCCESS,ok,7,2,0,low,-0.1968515695316872,0
2025-11-19 16:02:11,charlie,user,192.168.1.11,SUCCESS,ok,16,2,0,low,-0.18145127272917383,0
2025-11-17 05:06:11,charlie,user,198.51.100.3,SUCCESS,ok,5,0,0,low,-0.09993236852034149,0
2025-11-18 07:56:11,charlie,user,10.0.0.5,SUCCESS,ok,7,1,0,low,-0.1968515695316872,0
2025-11-21 14:04:11,bob,user,192.168.1.12,SUCCESS,ok,14,4,0,low,-0.20174898740751157,0
2025-11-24 01:42:11,charlie,user,192.168.1.12,SUCCESS,ok,1,0,0,low,-0.13038266067470616,0
2025-11-17 12:51:11,alice,user,10.0.0.5,SUCCESS,ok,12,0,0,low,-0.19656099588041198,0
2025-11-24 00:43:11,charlie,user,10.0.0.5,FAIL,bad_password,0,0,25,low,-0.07237313441841697,0
2025-11-21 04:21:11,alice,user,192.168.1.10,SUCCESS,ok,4,4,0,low,-0.19062178946263747,0
2025-11-17 08:59:11,admin,admin,192.168.1.10,SUCCESS,ok,8,0,20,low,-0.1275921941519218,0
2025-11-20 19:14:11,bob,user,10.0.0.6,FAIL,bad_password,19,3,20,low,-0.07744190320417732,0
2025-11-17 03:06:11,bob,user,10.0.0.6,SUCCESS,ok,3,0,0,low,-0.17726528538563163,0
